State,South Dakota,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
SD,Christian/Christianity,,,,F. The student describes and explains Christian and Muslim art and architecture in the Middle Ages. H
SD,Christian/Christianity,,,,"G. The student explains the origin of the Great Schism of 1054, the Investiture Controversy, and the Concordat of Worms. H"
SD,Christian/Christianity,,6.SS.7.,The student demonstrates knowledge and understanding of influential ideas from the Late Middle Ages and the Reformation.,A. The student explains the exchange of ideas and culture between Christians and Muslims. H
SD,Christian/Christianity,,,,"B. The student explains the developments and achievements of the high Middle Ages, including the power of the papacy, the founding of mendicant orders, the rise of universities, and the major ideas of scholasticism and Thomas of Aquino, Maimonides, and Ibn Sina. H"
SD,Christian/Christianity,7,7.SS.5.,The student demonstrates knowledge and understanding of colonial America.,"G. The student explains the influence of historical ideas on the colonists, especially within their colleges and leading families, including: HC ancient Greek ideas and logical reasoning ancient Roman political ideas and institutions Jewish and Christian views of a deity and of human beings the English tradition of the rule of law and representation, including Magna Carta the political ideas of John Locke and Baron de Montesquieu"
SD,Christian/Christianity,8,8.SS.6.,The student demonstrates knowledge of post-war America and the Civil Rights Movement.,"F. The student tells the biography of Martin Luther King, Jr., including: H his upbringing his education his Christian ministry his efforts for civil rights his writings and speeches his assassination the building of the Martin Luther King, Jr. Memorial"
SD,Christmas,NA,,,
SD,Catholic,6,6.SS.7.,The student demonstrates knowledge and understanding of influential ideas from the Late Middle Ages and the Reformation.,"E. The student explains the main ideas of major Protestant leaders, including Martin Luther, Henry VIII and Thomas Cranmer, and John Calvin, and how they contrasted with Catholic ideas and practices. H"
SD,Catholic,6,6.SS.7.,The student demonstrates knowledge and understanding of influential ideas from the Late Middle Ages and the Reformation.,"F. The student explains how the Protestant Reformation and the subsequent Catholic Reformation were reflected in art, architecture, and politics. H"
SD,Protestant,6,6.SS.7.,The student demonstrates knowledge and understanding of influential ideas from the Late Middle Ages and the Reformation.,"E. The student explains the main ideas of major Protestant leaders, including Martin Luther, Henry VIII and Thomas Cranmer, and John Calvin, and how they contrasted with Catholic ideas and practices. H"
SD,Protestant,,,,"F. The student explains how the Protestant Reformation and the subsequent Catholic Reformation were reflected in art, architecture, and politics. H"
SD,Mormon,NA,,,
SD,Orthodox,NA,,,
SD,Muslim,6,6.SS.6.,The student demonstrates knowledge and understanding of influential ideas from the Middle Ages,"D. The student explains the major historical events, cultural features, stories, and religious contributions of early Muslims, including the origins and role of the Qur an, the preservation of Greek thought, and expansions in science, philosophy, and mathematics. H"
SD,Muslim,,6.SS.6.,The student demonstrates knowledge and understanding of influential ideas from the Middle Ages,F. The student describes and explains Christian and Muslim art and architecture in the Middle Ages. H
SD,Muslim,,6.SS.7.,The student demonstrates knowledge and understanding of influential ideas from the Late Middle Ages and the Reformation.,A. The student explains the exchange of ideas and culture between Christians and Muslims. H
SD,Ramadan,NA,,,
SD,Jew(ish),,7.SS.5.,The student demonstrates knowledge and understanding of colonial Americ,"G. The student explains the influence of historical ideas on the colonists, especially within their colleges and leading families, including: HC Jewish and Christian views of a deity and of human beings"
SD,Judaism,NA,,,
SD,Hanukkah,NA,,,
SD,Holocaust,8,8.SS.5.,The student demonstrates knowledge and understanding of the Great Depression and World War II.,"I. The student explains the similarities and differences between militarism in Imperial Japan, communism in the Soviet Union, and fascism in Nazi Germany, including their use of violence and mass murder as demonstrated by: H - the Holocaust"
SD,Antisemitism,NA,,,
SD,Israel(ite),NA,,,
SD,Hebrew,6,6.SS.4.,"The student demonstrates knowledge and understanding of influential ideas from ancient Asia, the Middle East, northern Africa, and the eastern Mediterranean Sea.","D. The student explains the major cultural features, stories, and civil and religious contributions of the ancient Hebrews, including the origins and role of the Tanakh. HC"
SD,Hebrew,6,6.SS.4.,"The student demonstrates knowledge and understanding of influential ideas from ancient Asia, the Middle East, northern Africa, and the eastern Mediterranean Sea.","E. The student compares the monotheistic religion of the Hebrews to the traditional polytheism of the ancient world, including the belief in one god, the Decalogue, individual worth of each person, and equal moral obligations of each person regardless of class or authority. HC"
SD,Hebrew,6,6.SS.5.,The student demonstrates knowledge and understanding of influential ideas from the Roman Republic and the Roman Empire,"F. The student compares the religion of the Christians to that of the Hebrews and of polytheist religions, including monotheism, the Trinity, the belief in Jesus of Nazareth as divine, the redeeming of a person s sins, the individual worth of each person, and equal moral obligations of each person regardless of class or authority. H"
SD,Hindu(ism),NA,,,
SD,Buddhism/Buddhist,,6.SS.4.,"The student demonstrates knowledge and understanding of influential ideas from ancient Asia, the Middle East, northern Africa, and the eastern Mediterranean Sea.","B. The student explains the major cultural features, stories, and civil and religious contributions of Ancient India, Babylon, Persia, and Ancient China, including the ideas of Siddhartha, Hammurabi, and Confucius. HC"
SD,Sikh,NA,,,
SD,Mosque,NA,,,
SD,Temple,NA,,,
SD,Synagogue,NA,,,
SD,Church,6,6.SS.5.,The student demonstrates knowledge and understanding of influential ideas from the Roman Republic and the Roman Empire.,"H. The student explains the role of the papacy and historical figures in establishing Christianity and Roman law in Europe and the near east, including the Christian church fathers, Arianism, the Council of Nicaea, Augustine of Hippo, and Justinian. H"
SD,genocide,NA,,,
SD,Pilgrim,,7.SS.4.,"The student demonstrates knowledge and understanding of the settlement of North America by Europeans, especially that of the British","N. The student explains the meaning and historical significance of the following terms and topics: mercantilism, indentured servitude, Triangle Trade, Middle Passage, Wampanoag, Pilgrims, and Puritans. HE"
SD,Mission,NA,,,
SD,Confucian,,6.SS.4.,"The student demonstrates knowledge and understanding of influential ideas from ancient Asia, the Middle East, northern Africa, and the eastern Mediterranean Sea","B. The student explains the major cultural features, stories, and civil and religious contributions of Ancient India, Babylon, Persia, and Ancient China, including the ideas of Siddhartha, Hammurabi, and Confucius. HC"
SD,Jain/Jainism,NA,,,
SD,Tao/Taoism/Dao/Daoism/,NA,,,
SD,Lao Tzu/Laozi,NA,,,
SD,Shino,NA,,,
SD,Zoroastrianism,NA,,,
