South Dakota,,,,
Keyword,Grade/Area,Standard Number,Standard,Subpoint (letter at the end refers to the content area)
Hebrew,6,6.SS.4.,"The student demonstrates knowledge and understanding of influential ideas from ancient Asia, the Middle East, northern Africa, and the eastern Mediterranean Sea.","D. The student explains the major cultural features, stories, and civil and religious contributions of the ancient Hebrews, including the origins and role of the Tanakh. HC"
Hebrew,6,6.SS.4.,"The student demonstrates knowledge and understanding of influential ideas from ancient Asia, the Middle East, northern Africa, and the eastern Mediterranean Sea.","E. The student compares the monotheistic religion of the Hebrews to the traditional polytheism of the ancient world, including the belief in one god, the Decalogue, individual worth of each person, and equal moral obligations of each person regardless of class or authority. HC"
Hebrew,6,6.SS.5.,The student demonstrates knowledge and understanding of influential ideas from the Roman Republic and the Roman Empire,"F. The student compares the religion of the Christians to that of the Hebrews and of polytheist religions, including monotheism, the Trinity, the belief in Jesus of Nazareth as divine, the redeeming of a person s sins, the individual worth of each person, and equal moral obligations of each person regardless of class or authority. H"
,,,,
Hindu(ism),,,,
Buddhism/Buddhist,,6.SS.4.,"The student demonstrates knowledge and understanding of influential ideas from ancient Asia, the Middle East, northern Africa, and the eastern Mediterranean Sea.","B. The student explains the major cultural features, stories, and civil and religious contributions of Ancient India, Babylon, Persia, and Ancient China, including the ideas of Siddhartha, Hammurabi, and Confucius. HC"
Sikh,,,,
,,,,
Mosque,,,,
Temple,,,,
Synagogue,,,,
,,,,
Church,6,6.SS.5.,The student demonstrates knowledge and understanding of influential ideas from the Roman Republic and the Roman Empire.,"H. The student explains the role of the papacy and historical figures in establishing Christianity and Roman law in Europe and the near east, including the Christian church fathers, Arianism, the Council of Nicaea, Augustine of Hippo, and Justinian. H"
,,,,
genocide,,,,
Pilgrim,,7.SS.4.,"The student demonstrates knowledge and understanding of the settlement of North America by Europeans, especially that of the British","N. The student explains the meaning and historical significance of the following terms and topics: mercantilism, indentured servitude, Triangle Trade, Middle Passage, Wampanoag, Pilgrims, and Puritans. HE"
Mission,,,,
,,,,
Confucian,,6.SS.4.,"The student demonstrates knowledge and understanding of influential ideas from ancient Asia, the Middle East, northern Africa, and the eastern Mediterranean Sea","B. The student explains the major cultural features, stories, and civil and religious contributions of Ancient India, Babylon, Persia, and Ancient China, including the ideas of Siddhartha, Hammurabi, and Confucius. HC"
,,,,
Jain/Jainism,,,,
Tao/Taoism/Dao/Daoism/,,,,
Lao Tzu/Laozi,,,,
,,,,
Shino,,,,
Zoroastrianism,,,,
