State,South Carolina,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
SC,Catholic,6,Development of the Atlantic World,"Standard 3: Demonstrate an understanding of the development of the Atlantic World from the invention of the printing press to the Industrial Revolution (i.e., 1450 1760).","Analyze the intellectual, political, and social changes in relation to the idea of individual rights from Humanism to the Enlightenment. This indicator was developed to analyze the changes and continuities that occurred in the cultural and intellectual developments of the Renaissance, the Enlightenment, the Scientific Revolution, the Protestant Reformation, and the Catholic Counter-Reformation."
SC,Protestant,6,Development of the Atlantic World,"Standard 3: Demonstrate an understanding of the development of the Atlantic World from the invention of the printing press to the Industrial Revolution (i.e., 1450 1760).","Analyze the intellectual, political, and social changes in relation to the idea of individual rights from Humanism to the Enlightenment. This indicator was developed to analyze the changes and continuities that occurred in the cultural and intellectual developments of the Renaissance, the Enlightenment, the Scientific Revolution, the Protestant Reformation, and the Catholic Counter-Reformation."
SC,Mormon,NA,,,
SC,Orthodox,NA,,,
SC,Muslim,only appears in a glossary definition,,,
SC,Islam,6,Development of the Atlantic World,"Standard 3: Demonstrate an understanding of the development of the Atlantic World from the invention of the printing press to the Industrial Revolution (i.e., 1450 1760).","Analyze the intellectual, political, and social changes in relation to the idea of individual rights from Humanism to the Enlightenment. This indicator was developed to analyze the changes and continuities that occurred in the cultural and intellectual developments of the Renaissance, the Enlightenment, the Scientific Revolution, the Protestant Reformation, and the Catholic Counter-Reformation."
SC,Ramadan,NA,,,
SC,Sunni/Shia,NA,,,
SC,Jew/Jewish,8,Progress,"Standard 5: Demonstrate an understanding of the impact of world events on South Carolina and the United States from 1929 to present. Enduring Understanding: As a result of new perspectives on national security following World War I, South Carolina continues to benefit from and contribute to national and global communities. Additionally, civic participation and social change altered South Carolina s social standing and political alignment.","Compare South Carolina and U.S. wartime contributions and demobilization after World War II. This indicator was designed to promote inquiry into military and economic policies during World War II, to include the significance of military bases in South Carolina. This indicator was also developed to foster inquiry into postwar economic developments and demographic changes, to include the immigration of Jewish refugees following the Holocaust"
SC,Jew/Jewish,*appears in the glossary definition of Holocaust,,,
SC,Judaism,6,Development of the Atlantic World,"Standard 3: Demonstrate an understanding of the development of the Atlantic World from the invention of the printing press to the Industrial Revolution (i.e., 1450 1760).","Analyze the intellectual, political, and social changes in relation to the idea of individual rights from Humanism to the Enlightenment. This indicator was developed to analyze the changes and continuities that occurred in the cultural and intellectual developments of the Renaissance, the Enlightenment, the Scientific Revolution, the Protestant Reformation, and the Catholic Counter-Reformation."
SC,Hanukkah,NA,,,
SC,Holocaust,6,Global Independence,Standard 5: Demonstrate an understanding of the development of global interdependence from 1920 to the present.,"Explain the impact of nationalism on global conflicts and genocides in the 20th and 21st centuries. This indicator was developed to promote inquiry into the cause and effect relationship between nationalism and world wars. This indicator was also developed to promote inquiry into genocide, including the Holocaust, as well as the creation of the Universal Declaration of Human Rights, and the ensuing conflict that resulted from the creation of the state of Israel."
SC,Holocaust,8,Progress,Standard 5: Demonstrate an understanding of the impact of world events on South Carolina and the United States from 1929 to present.,"Compare South Carolina and U.S. wartime contributions and demobilization after World War II. This indicator was designed to promote inquiry into military and economic policies during World War II, to include the significance of military bases in South Carolina. This indicator was also developed to foster inquiry into postwar economic developments and demographic changes, to include the immigration of Jewish refugees following the Holocaust"
SC,Holocaust,**Appears as a glossary term,,,
SC,Antisemitism,NA,,,
SC,Israel/Israelite,6,Global Independence,Standard 5: Demonstrate an understanding of the development of global interdependence from 1920 to the present.,"Explain the impact of nationalism on global conflicts and genocides in the 20th and 21st centuries. This indicator was developed to promote inquiry into the cause and effect relationship between nationalism and world wars. This indicator was also developed to promote inquiry into genocide, including the Holocaust, as well as the creation of the Universal Declaration of Human Rights, and the ensuing conflict that resulted from the creation of the state of Israel."
SC,Hindu(ism),6,Civilations,Standard 1: Demonstrate an understanding of the organization and transformation(s) of world civilizations to 550.,"Contextualize the origins and spread of major world religions and their enduring influence. This indicator was designed to promote inquiry into the development, basic tenets, and impact of Buddhism, Christianity, Confucianism, Daoism, Hinduism, Islam, and Judaism in relation to place and time"
SC,Buddhism/ist,6,Civilations,Standard 1: Demonstrate an understanding of the organization and transformation(s) of world civilizations to 550.,"Contextualize the origins and spread of major world religions and their enduring influence. This indicator was designed to promote inquiry into the development, basic tenets, and impact of Buddhism, Christianity, Confucianism, Daoism, Hinduism, Islam, and Judaism in relation to place and time"
SC,Sikh,NA,,,
SC,Mosque,NA,,,
SC,Temple,NA,,,
SC,Synagogue,Na,,,
SC,Church,**Appears in a glossary definition,,,
SC,Genocide,6,Global Interdependence,Standard 5: Demonstrate an understanding of the development of global interdependence from 1920 to the present.,"Explain the impact of nationalism on global conflicts and genocides in the 20th and 21st centuries. This indicator was developed to promote inquiry into the cause and effect relationship between nationalism and world wars. This indicator was also developed to promote inquiry into genocide, including the Holocaust, as well as the creation of the Universal Declaration of Human Rights, and the ensuing conflict that resulted from the creation of the state of Israel."
SC,Pilgrim(age),NA,,,
SC,Mission(ary),NA,,,
SC,Shaman,NA,,,
SC,Bahai/Baha 'i,NA,,,
SC,Confucian/Confucianism/Confucius,6,Civilations,Standard 1: Demonstrate an understanding of the organization and transformation(s) of world civilizations to 550.,"Contextualize the origins and spread of major world religions and their enduring influence. This indicator was designed to promote inquiry into the development, basic tenets, and impact of Buddhism, Christianity, Confucianism, Daoism, Hinduism, Islam, and Judaism in relation to place and time"
SC,Jain/Jainism,NA,,,
SC,Tao/Taoism/Dao/Daoism/,6,Civilations,Standard 1: Demonstrate an understanding of the organization and transformation(s) of world civilizations to 550.,"Contextualize the origins and spread of major world religions and their enduring influence. This indicator was designed to promote inquiry into the development, basic tenets, and impact of Buddhism, Christianity, Confucianism, Daoism, Hinduism, Islam, and Judaism in relation to place and time"
SC,Lao Tzu/Laozi,NA,,,
SC,Shinto/Shintoism,NA,,,
SC,Zoroastrianism,NA,,,
SC,Jesus,**Appears in a glossary definition,,,
SC,Bible,NA,,,
SC,Divine,**Appears in a glossary definition,,,
SC,Tanakh,NA,,,
