State,North Dakota,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
ND,Muslim/Islam/Ramadan,6-12,World History,Era 1:,"Emergence of Civilizations and Religions Around the Globe. Guiding Topics: Mythology, Hinduism, Sikhism, Buddhism, Daoism, Christianity, Confucianism, Islam, Judaism, etc."
ND,Muslim/Islam/Ramadan,6-12,World History,Era 2:,"Middle Ages and the Renaissance. Guiding Topics: Rise of Islam, importance of Christianity in Europe, monasteries preserving classical texts, differences between Medieval and Renaissance culture"
ND,Muslim/Islam/Ramadan,6-12,World History,Era 3:,"Age of Revolutions. Guiding Topics: Protestant Reformation, Catholic Counter Reformation, Islamic division; 95 Theses or Peasant Revolts"
ND,Muslim/Islam/Ramadan,6-12,World History,Era 4:,"Age of Global War and Globalization. Guiding Topics: Communism, Nazism, fascism, nationalism, Islamism, beginning and end of the Cold War (including Korea, Vietnam, or Afghanistan), apartheid, racism"
ND,Jew/Judaism/Hanukah/Holocaust,6-12,World History,Era 1:,"Emergence of Civilizations and Religions Around the Globe. Guiding Topics: Mythology, Hinduism, Sikhism, Buddhism, Daoism, Christianity, Confucianism, Islam, Judaism, etc."
ND,Hindu,6-12,World History,Era 1:,"Emergence of Civilizations and Religions Around the Globe. Guiding Topics: Mythology, Hinduism, Sikhism, Buddhism, Daoism, Christianity, Confucianism, Islam, Judaism, etc."
ND,Buddhism,6-12,World History,Era 1:,"Emergence of Civilizations and Religions Around the Globe. Guiding Topics: Mythology, Hinduism, Sikhism, Buddhism, Daoism, Christianity, Confucianism, Islam, Judaism, etc."
ND,Sikh,6-12,World History,Era 1:,"Emergence of Civilizations and Religions Around the Globe. Guiding Topics: Mythology, Hinduism, Sikhism, Buddhism, Daoism, Christianity, Confucianism, Islam, Judaism, etc."
ND,Mormon,NA,,,
ND,Genocide,NA,,,
ND,Persecution,NA,,,
ND,Church,NA,,,
ND,Mosque,NA,,,
ND,Temple,NA,,,
ND,Synagogue,NA,,,
ND,Pilgrim/pilgrimage,NA,,,
ND,Mission/Missionary/missionaries,NA,,,
ND,shaman,NA,,,
ND,god,NA,,,
ND,Catholic,6-12,World History,Era 3:,"Age of Revolutions. Guiding Topics: Protestant Reformation, Catholic Counter Reformation, Islamic division; 95 Theses or Peasant Revolts"
ND,Protestant,6-12,World History,Era 3:,"Age of Revolutions. Guiding Topics: Protestant Reformation, Catholic Counter Reformation, Islamic division; 95 Theses or Peasant Revolts"
ND,Theocracy/Theocratic,6-12,Civics & Government,C.6_12.2,"Guiding Topics: Democracy, monarchy, oligarchy, tyranny, fascism, communism, theocracy, constitutional republic, parliamentary democracy, presidential democracy, and other forms of governments"
ND,Antisemitism,NA,,,
ND,Israelite/Hebrew,NA,,,
ND,Confucian,6-12,World History,Era 1:,"Emergence of Civilizations and Religions Around the Globe. Guiding Topics: Mythology, Hinduism, Sikhism, Buddhism, Daoism, Christianity, Confucianism, Islam, Judaism, etc."
ND,Jain/Jainism,NA,,,
ND,Tao/Taoism/Dao/Daoism,6-12,World History,Era 1:,"Emergence of Civilizations and Religions Around the Globe. Guiding Topics: Mythology, Hinduism, Sikhism, Buddhism, Daoism, Christianity, Confucianism, Islam, Judaism, etc."
ND,Shinto/Shintoism,NA,,,
