Michigan,,,
Keyword,Grade,,
Christian/Christmas,7,World History and Geography,"Examples may include, but are not limited to: comparing major figures, sacred texts, and basic beliefs (ethnic vs. universalizing; monotheistic vs. polytheistic) among religions; case studies of continuity of local indigenous belief systems or animistic religions; comparisons with religious traditions that developed after 1500 CE such as Protestantism."
Muslim/Islam/Ramadan,7,World History and Geography,7 W3.2.1
Muslim/Islam/Ramadan,7,World History and Geography,"Identify and describe the core beliefs of major world religions and belief systems, including Hinduism, Judaism, Buddhism, Christianity, Confucianism, Sikhism and Islam."
Muslim/Islam/Ramadan,7,World History and Geography,7-- H1.1.1
Muslim/Islam/Ramadan,7,World History and Geography,Compare and contrast several different calendar systems used in the past and present and their cultural significance.
Muslim/Islam/Ramadan,7,World History and Geography,Examples may include but are not limited to: sundial; lunar solar; Gregorian calendar: BC/AD; contemporary secular: BCE/CE; Chinese; Hebrew; Islamic/Hijri.
Jew/Judaism/Hanukah/Holocaust,7,World History and Geography,7 W3.2.1
Jew/Judaism/Hanukah/Holocaust,7,World History and Geography,"Identify and describe the core beliefs of major world religions and belief systems, including Hinduism, Judaism, Buddhism, Christianity, Confucianism, Sikhism and Islam."
Jew/Judaism/Hanukah/Holocaust,7,World History and Geography,7-- H1.1.1
Jew/Judaism/Hanukah/Holocaust,7,World History and Geography,Compare and contrast several different calendar systems used in the past and present and their cultural significance.
Jew/Judaism/Hanukah/Holocaust,7,World History and Geography,Examples may include but are not limited to: sundial; lunar solar; Gregorian calendar: BC/AD; contemporary secular: BCE/CE; Chinese; Hebrew; Islamic/Hijri.
Jew/Judaism/Hanukah/Holocaust,7,World History and Geography,(Not a keyword but noticed HEBREW)
Hindu,7,World History and Geography,7 W3.2.1
Hindu,7,World History and Geography,"Identify and describe the core beliefs of major world religions and belief systems, including Hinduism, Judaism, Buddhism, Christianity, Confucianism, Sikhism and Islam."
Buddhism,7,World History and Geography,7 W3.2.1
Buddhism,7,World History and Geography,"Identify and describe the core beliefs of major world religions and belief systems, including Hinduism, Judaism, Buddhism, Christianity, Confucianism, Sikhism and Islam."
Sikh,7,World History and Geography,7 W3.2.1
Sikh,7,World History and Geography,"Identify and describe the core beliefs of major world religions and belief systems, including Hinduism, Judaism, Buddhism, Christianity, Confucianism, Sikhism and Islam."
Mormon,,N/a,
Kwanzaa,,N/a,
Genocide,,N/a,
Persecution,,N/a,
Church,,N/a,
Mosque,,N/a,
Temple,,N/a,
Synagogue,,N/a,
Pilgrim/pilgrimage,,N/a,
Mission/Missionary/missionaries,,N/a,
shaman,,N/a,
god,,N/a,
Protestant,7,World History and Geography,W3.2.1
Protestant,7,World History and Geography,"Explain how world religions or belief systems of Hinduism, Judaism, Buddhism, Christi-anity, Confucianism, Sikhism, and Islam grew and their significance (Sikhism and Islam are included here even though they came after 300 CE). The world s major faiths and ethical systems emerged, establishing institutions, systems of thought, and cultural styles that would influence neighboring peoples and endure for centuries."
Protestant,7,World History and Geography,"Examples may include, but are not limited to: comparing major figures, sacred texts, and basic beliefs (ethnic vs. universalizing; monotheistic vs. polytheistic) among religions; case studies of continuity of local indigenous belief systems or animistic religions; comparisons with religious traditions that developed after 1500 CE such as Protestantism."
Theocratic,,,
Antisemitism,,,
Israelite & Hebrew,7,World History and Geography,H1.1.1
Israelite & Hebrew,7,World History and Geography,Compare and contrast several different calendar systems used in the past and present and their cultural significance.
Israelite & Hebrew,7,World History and Geography,Examples may include but are not limited to: sundial; lunar solar; Gregorian calendar: BC/AD; contemporary secular: BCE/CE; Chinese; Hebrew; Islamic/Hijri.
Confucian/Confucianism/Confucius,7,World History and Geography,W3.2.1
Confucian/Confucianism/Confucius,7,World History and Geography,"Explain how world religions or belief systems of Hinduism, Judaism, Buddhism, Christi-anity, Confucianism, Sikhism, and Islam grew and their significance (Sikhism and Islam are included here even though they came after 300 CE). The world s major faiths and ethical systems emerged, establishing institutions, systems of thought, and cultural styles that would influence neighboring peoples and endure for centuries."
Jain/Jainism,,,
Tao/Taoism/Dao/Danish/Lao Tzu/Laozi,,,
Shinto/Shintoism,,,
Zoroastrianism,,,
Bahai/Baha 'i,,,
