State,Oregon,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
OR,Religion/Religious,8,Historical Knowledge (Focus: US History) [1776 to Reconstruction5],8.28,"* Critique and analyze historical events to recognize power, authority, religion, economics, and governance as they relate to systemic oppression and its impact on Indigenous peoples, ethnic and religious groups, and other historically marginalized groups in the colonial and modern era.",,,,
OR,Spirit/spiritual,NA,,,,,,,
OR,Holiday,NA,,,,,,,
OR,God,NA,,,,,,,
OR,Theocracy,8,Civics and Government,8.11,"Compare and contrast the United States republican form of government to direct democracy, theocracy, oligarchy, authoritarianism, and monarchy.",,,,
OR,Christian/Christmas,NA,,,,,,,
OR,Catholic,NA,,,,,,,
OR,Protestant,NA,,,,,,,
OR,Mormon,NA,,,,,,,
OR,Orthodox,NA,,,,,,,
OR,Jesus,NA,,,,,,,
OR,Bible,NA,,,,,,,
OR,Crusade,NA,,,,,,,
OR,Reformation,NA,,,,,,,
OR,Muslim,NA,,,,,,,
OR,Islam,NA,,,,,,,
OR,Ramadan,NA,,,,,,,
OR,Sunni/Shia,NA,,,,,,,
OR,Jew/,NA,,,,,,,
OR,Judaism/,NA,,,,,,,
OR,Hanukkah/,NA,,,,,,,
OR,Holocaust,NA,,,,,,,
OR,Antisemitism,6,Historical Knowledge (Focus: The Americas2) [ Time Immemorial-Current Day]),6.21,"* Identify the motivations, tools, and implications of power, authority, and governance as it relates to systems and tools of oppression (e.g., bias, injustice, discrimination, antisemitism, and stereotypes) and its impact on ethnic and religious groups and other historically marginalized groups of the Western Hemisphere.",,,,
OR,Antisemitism,7,Historical Thinking,7.25,"Identify the motivations, tools, and implications of power, authority, and governance as it relates to systems and tools of oppression (e.g., bias, injustice, discrimination, antisemitism, and stereotypes) and its impact on ethnic and religious groups and other historically marginalized groups of the Eastern Hemisphere.",,,,
OR,Israel/Israelite,NA,,,,,,,
OR,Hebrew,NA,,,,,,,
OR,Tanak,NA,,,,,,,
OR,Hindu/Hinduism,NA,,,,,,,
OR,Buddhism/Buddhist,NA,,,,,,,
OR,Sikh,NA,,,,,,,
OR,Mosque,NA,,,,,,,
OR,Temple,NA,,,,,,,
OR,Synagogue,NA,,,,,,,
OR,Church,NA,,,,,,,
OR,genocide,8,Historical Knowledge (Focus: US History) [1776 to Reconstruction5],8.24,"* Examine the causes of westward expansion, the resulting cultural and physical genocide, and the methods of resistance, change, and adaptation, by indigenous peoples in response to the invasion of their lands.",,,,
OR,Persecution,NA,,,,,,,
OR,Pilgrim/Pilgrimage,NA,,,,,,,
OR,Mission/missionary/missionaries,NA,,,,,,,
OR,Shaman,NA,,,,,,,
OR,Bahai/Baha 'i,NA,,,,,,,
OR,Confucian/Confucianism/Confucius,NA,,,,,,,
OR,Jain/Jainism,NA,,,,,,,
OR,Tao/Taoism/Dao/Daoism/,NA,,,,,,,
OR,Lao Tzu/Laozi,NA,,,,,,,
OR,Shinto/Shintoism,NA,,,,,,,
OR,Zoroastrian,NA,,,,,,,
OR,Reformation,NA,,,,,,,
OR,Jesus,NA,,,,,,,
OR,Bible,NA,,,,,,,
OR,Divine,NA,,,,,,,
OR,Tanakh,NA,,,,,,,
OR,Quran,NA,,,,,,,
OR,Monasteries,NA,,,,,,,
OR,Muhammed,NA,,,,,,,
OR,Crusades,NA,,,,,,,
OR,Monastery,NA,,,,,,,
