Minnesota,,,
Keyword,Grade,Course,Strand
Spirit/ Spiritual,8,History,"Describe varieties of spiritual and religious beliefs and practices in the contemporary world, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
Holiday,N/a,,
Christian/Christmas,8,History,Global Studies
Christian/Christmas,8,History,"19. Historical Perspectives: Identify diverse points of view, and describe how one s frame of reference influences historical perspective."
Christian/Christmas,8,History,8.4.19.2
Christian/Christmas,8,History,"Describe varieties of spiritual and religious beliefs and practices in the contemporary world, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
Muslim/Islam/Ramadan,8,History,Global Studies
Muslim/Islam/Ramadan,8,History,"19. Historical Perspectives: Identify diverse points of view, and describe how one s frame of reference influences historical perspective."
Muslim/Islam/Ramadan,8,History,8.4.19.2
Muslim/Islam/Ramadan,8,History,"Describe varieties of spiritual and religious beliefs and practices in the contemporary world, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
Jew/Judaism/Hanukah/Holocaust,8,History,Global Studies
Jew/Judaism/Hanukah/Holocaust,8,History,"19. Historical Perspectives: Identify diverse points of view, and describe how one s frame of reference influences historical perspective."
Jew/Judaism/Hanukah/Holocaust,8,History,8.4.19.2
Jew/Judaism/Hanukah/Holocaust,8,History,"Describe varieties of spiritual and religious beliefs and practices in the contemporary world, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
Jew/Judaism/Hanukah/Holocaust,7,History,US History
Jew/Judaism/Hanukah/Holocaust,7,History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and nondominant narratives about the past."
Jew/Judaism/Hanukah/Holocaust,7,History,7.4.18.3
Jew/Judaism/Hanukah/Holocaust,7,History,"Analyze connections between World War II, Fascism and the Holocaust. Identify the relationship between individuals experiences of these events and broader historical contexts."
Jew/Judaism/Hanukah/Holocaust,8,History,Global Studies
Jew/Judaism/Hanukah/Holocaust,8,History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author s point of view of these sources."
Jew/Judaism/Hanukah/Holocaust,8,History,8.4.20.1
Jew/Judaism/Hanukah/Holocaust,8,History,"Use primary and secondary sources to analyze how individuals, groups, and societies around the world have been affected by genocide, the Holocaust, and mass violence, including communities resettled in Minnesota."
Hindu,8,History,Global Studies
Hindu,8,History,"19. Historical Perspectives: Identify diverse points of view, and describe how one s frame of reference influences historical perspective."
Hindu,8,History,8.4.19.2
Hindu,8,History,"Describe varieties of spiritual and religious beliefs and practices in the contemporary world, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
Buddhism,8,History,Global Studies
Buddhism,8,History,"19. Historical Perspectives: Identify diverse points of view, and describe how one s frame of reference influences historical perspective."
Buddhism,8,History,8.4.19.2
Buddhism,8,History,"Describe varieties of spiritual and religious beliefs and practices in the contemporary world, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
Sikh,8,History,Global Studies
Sikh,8,History,"19. Historical Perspectives: Identify diverse points of view, and describe how one s frame of reference influences historical perspective."
Sikh,8,History,8.4.19.2
Sikh,8,History,"Describe varieties of spiritual and religious beliefs and practices in the contemporary world, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
Mormon,N/a,,
Kwanzaa,N/a,,
Genocide,6,History,MN Studies
Genocide,6,History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.
Genocide,6,History,6.4.21.2
Genocide,6,History,"Construct a narrative about why and how people have migrated to Minnesota as a result of warfare and/or genocide since 1960, using primary sources about immigrant experiences."
Genocide,8,History,Global Studies
Genocide,8,History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author s point of view of these sources."
Genocide,8,History,8.4.20.1
Genocide,8,History,"Use primary and secondary sources to analyze how individuals, groups, and societies around the world have been affected by genocide, the Holocaust, and mass violence, including communities resettled in Minnesota."
Persecution,N/a,,
Church,N/a,,
Mosque,N/a,,
Temple,N/a,,
Synagogue,N/a,,
Pilgrim/pilgrimage,N/a,,
Mission/Missionary/missionaries,N/a,,
shaman,8,History,Global Studies
shaman,8,History,"19. Historical Perspectives: Identify diverse points of view, and describe how one s frame of reference influences historical perspective."
shaman,8,History,8.4.19.2
shaman,8,History,"Describe varieties of spiritual and religious beliefs and practices in the contemporary world, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
god,N/a,,
Protestant,N/a,,
Theocratic,N/a,,
Antisemitism,N/a,,
Israelite & Hebrew,N/a,,
Confucian/Confucianism/Confucius,8,History,Global Studies
Confucian/Confucianism/Confucius,8,History,"19. Historical Perspectives: Identify diverse points of view, and describe how one s frame of reference influences historical perspective."
Confucian/Confucianism/Confucius,8,History,8.4.19.2
Confucian/Confucianism/Confucius,8,History,"Describe varieties of spiritual and religious beliefs and practices in the contemporary world, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
Jain/Jainism,8,History,Global Studies
Jain/Jainism,8,History,"19. Historical Perspectives: Identify diverse points of view, and describe how one s frame of reference influences historical perspective."
Jain/Jainism,8,History,8.4.19.2
Jain/Jainism,8,History,"Describe varieties of spiritual and religious beliefs and practices in the contemporary world, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
Tao/Taoism/Dao/Danish/Lao Tzu/Laozi,,,
Shinto/Shintoism,,,
Zoroastrianism,,,
Bahai/Baha 'i,,,
