State,Arizona,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
AZ,Buddhism,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,LIST OF,"TOPICS. World religions including, but not limited to Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism, (origins, founders, major tenets, practices, and sacred writings)"
AZ,Buddhism,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,6.H3.2.,"Generate questions to examine the similarities and differences between major world religions and the role of religion in the formation of regions and their cultural, political, economic, and social identity. Key world religions such as Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism."
AZ,Sikh/Sikhism,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,LIST OF,"TOPICS. World religions including, but not limited to Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism, (origins, founders, major tenets, practices, and sacred writings)"
AZ,Sikh/Sikhism,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,6.H3.2.,"Generate questions to examine the similarities and differences between major world religions and the role of religion in the formation of regions and their cultural, political, economic, and social identity. Key world religions such as Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism."
AZ,Mormon,NA,,,
AZ,Kwanzaa,NA,,,
AZ,Genocide,8,Citizenship and Civic Engagement,LIST OF,"TOPICS. Human rights and genocides including treaties and organizations that promote human rights and a study of the nations that abuse human rights and/or support genocide (In addition to the study of the Holocaust, other genocides should be studied)."
AZ,Persecution,NA,,,
AZ,Church,NA,,,
AZ,Mosque,NA,,,
AZ,Temple,NA,,,
AZ,Synagogue,NA,,,
AZ,Pilgrim/pilgrimage,NA,,,
AZ,Mission/Missionary/missionaries,NA,,,
AZ,shaman,NA,,,
AZ,god,NA,,,
AZ,Theocracy,7,Integrated Global Studies: Scientific Revolution & Enlightenment present,LIST OF,"TOPICS. Government and economic systems such as monarchy, dictatorship, theocracy, oligarchy, aristocracy, democracy, constitutional republic, anarchy, and capitalism, socialism, and communism including founders, major tenets, practices, and writings"
AZ,Theology,NA,,,
AZ,Crusades,NA,,,
AZ,Catholic,NA,,,
AZ,Protestant,NA,,,
AZ,Theocratic,NA,,,
AZ,Antisemitism,NA,,,
AZ,Israelite & Hebrew,NA,,,
AZ,Confucian/Confucianism/Confucius,Grade 6,History,6.H3.2,"Generate questions to examine the similarities and differences between major world religions and the role of religion in the formation of regions and their cultural, political, economic, and social identity. Key world religions such as Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism"
AZ,Jain/Jainism,NA,,,
AZ,Tao/Taoism/Dao/Danish/Lao Tzu/Laozi,Grade 6,History,6.H3.2,"Generate questions to examine the similarities and differences between major world religions and the role of religion in the formation of regions and their cultural, political, economic, and social identity. Key world religions such as Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism"
AZ,Shinto/Shintoism,Grade 6,History,6.H3.2,"Generate questions to examine the similarities and differences between major world religions and the role of religion in the formation of regions and their cultural, political, economic, and social identity. Key world religions such as Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism"
AZ,Zoroastrianism,NA,,,
AZ,Bahai/Baha 'i,NA,,,
AZ,Notes:,NA,,,
AZ,Indigenous,7,Integrated Global Studies: Scientific Revolution & Enlightenment present,Global,"imperialism and its lasting consequences on regional conflict, stability, indigenous peoples, and human movement, including slavery and involuntary migrations"
AZ,Beliefs,6,Civics,6.C2.1.,"Analyze the beliefs, experiences, perspectives, and values that underlie points of view regarding civic issues in the time period and region studied."
AZ,Pastoral Societies,6,Geography,6.G3.2.,"Analyze the influence of location, use of natural resources, catastrophic environmental events, and technological developments on human settlement and migration. Key concepts include but are not limited to development of early river civilization, pastoral societies, rise of cities, innovations in transportation, and collapse of empires."
AZ,Motivations,6,History,6.H3.3.,"Explain why communities, states, and nations have different motivations for their choices including individual rights, freedoms, and responsibilities."
AZ,"Process, rules, and laws direct how individuals are governed and how society addresses problems (7.C4.1 7.C4.4)",Civics,,,
AZ,"7.G2.1. Explain how cultural demographic patterns, economic decisions, and human adaptations shape the identity of nearby and distant places.",Civics,,,
AZ,7.G4.1. Analyze cultural and environmental characteristics among various places and regions of the world.,Civics,,,
AZ,"7.H1.1. Analyze the rise and decline, interactions between, and blending of cultures and societies.",History,,,
