Mississippi,,,
Keyword,Grade/Area,Course,Code
Muslim/Islam/Ramadan,7,Early World History,"1. Compare and contrast animism, monotheism, and polytheism. 2. Explain the origins and foundational beliefs of the spread of Christianity, Islam, and Judaism. 3. Inspect the origins and foundational beliefs of the spread of Buddhism and Hinduism."
Muslim/Islam/Ramadan,7,Early World History,7.6
Muslim/Islam/Ramadan,7,Early World History,2. Inspect the origins and foundational beliefs of traditional African religions as well as the influence of Islam on the civilizations of sub-Saharan Africa.
Muslim/Islam/Ramadan,7,Early World History,2. Inspect the origins and foundational beliefs of traditional African religions as well as the influence of Islam on the civilizations of sub-Saharan Africa.
Jew/Judaism/Hanukah/Holocaust,7,Early World History,7.7
Jew/Judaism/Hanukah/Holocaust,7,Early World History,"Compare and contrast the developments of early world religions and philosophies. (Strands: Civics, Civil Rights, History)"
Jew/Judaism/Hanukah/Holocaust,7,Early World History,"1. Compare and contrast animism, monotheism, and polytheism. 2. Explain the origins and foundational beliefs of the spread of Christianity, Islam, and Judaism. 3. Inspect the origins and foundational beliefs of the spread of Buddhism and Hinduism."
Hindu,7,Early World History,7.7
Hindu,7,Early World History,"Compare and contrast the developments of early world religions and philosophies. (Strands: Civics, Civil Rights, History)"
Hindu,7,Early World History,"1. Compare and contrast animism, monotheism, and polytheism. 2. Explain the origins and foundational beliefs of the spread of Christianity, Islam, and Judaism. 3. Inspect the origins and foundational beliefs of the spread of Buddhism and Hinduism."
Hindu,7,Early World History,7.3
Hindu,7,Early World History,"Demonstrate an understanding of the development of civilization in Indus Valley. (Strands: Civics, Civil Rights, Geography, History, Economics)"
Hindu,7,Early World History,2. Analyze the influence of Hinduism on the Indian culture and social practices.
Buddhism,7,Early World History,7.7
Buddhism,7,Early World History,"Compare and contrast the developments of early world religions and philosophies. (Strands: Civics, Civil Rights, History)"
Buddhism,7,Early World History,"1. Compare and contrast animism, monotheism, and polytheism. 2. Explain the origins and foundational beliefs of the spread of Christianity, Islam, and Judaism. 3. Inspect the origins and foundational beliefs of the spread of Buddhism and Hinduism."
Sikh,N/a,,
Mormon,N/a,,
Kwanzaa,N/a,,
Genocide,N/a,,
Persecution,N/a,,
Church,7,Early World History,7.8
Church,7,Early World History,Apply theories on life cycle development to explain differences in social interactions and relationships at different points in the life cycle of a human being based on cultural socialization in response to those developmental changes. (
Church,7,Early World History,Apply theories on life cycle development to explain differences in social interactions and relationships at different points in the life cycle of a human being based on cultural socialization in response to those developmental changes. (
Mosque,,,
Temple,,,
Synagogue,,,
Pilgrim/pilgrimage,,,
Mission/Missionary/missionaries,,,
shaman,,,
god,,,
Protestant,,,
Theocratic,,,
Antisemitism,,,
Israelite & Hebrew,,,
Confucian/Confucianism/Confucius,7,Early World History,7.2
Confucian/Confucianism/Confucius,7,Early World History,"Examine an understanding of the development of civilization in the river valleys of China. (Strands: Civics, Civil Rights, Geography, History, Economics)"
Confucian/Confucianism/Confucius,7,Early World History,"Compare and contrast the origins, foundational beliefs and spread of Confucianism and Taoism."
Jain/Jainism,,,
Tao/Taoism/Dao/Danish/Lao Tzu/Laozi,7,Early World History,7.2
Tao/Taoism/Dao/Danish/Lao Tzu/Laozi,7,Early World History,"Examine an understanding of the development of civilization in the river valleys of China. (Strands: Civics, Civil Rights, Geography, History, Economics)"
Tao/Taoism/Dao/Danish/Lao Tzu/Laozi,7,Early World History,"Compare and contrast the origins, foundational beliefs and spread of Confucianism and Taoism."
Shinto/Shintoism,,,
Zoroastrianism,,,
Bahai/Baha 'i,,,
