0,1,2,3,4
Jew/Jewish,8,Progress,8.5.CO,"Standard 5: Demonstrate an understanding of the impact of world events on South
Carolina and the United States from 1929 to present.
Enduring Understanding: As a result of new perspectives on national security
following World War I, South Carolina continues to benefit from and contribute to
national and global communities. Additionally, civic participation and social change
altered South Carolina’s social standing and political alignment.  +++ Compare South Carolina and U.S. wartime contributions and
demobilization after World War II.
This indicator was designed to promote inquiry into military and economic policies during World War II, to include the significance of military bases in South Carolina. This indicator was also developed to foster inquiry into postwar economic developments and demographic changes, to include the immigration of Jewish refugees following the Holocaust"
Jew/Jewish,no_content,*appears in the glossary definition of Holocaust,,
Judaism,6,Development of the Atlantic World,6.3.CC,"Standard 3: Demonstrate an understanding of the development of the Atlantic World from the invention of the printing press to the Industrial Revolution (i.e., 1450–1760). +++ Analyze the intellectual, political, and social changes in relation to the idea of individual rights from Humanism to the Enlightenment. This indicator was developed to analyze the changes and continuities that occurred in the cultural and intellectual developments of the Renaissance, the Enlightenment, the Scientific Revolution, the Protestant Reformation, and the Catholic Counter-Reformation."
Hanukkah,no_content,,,
Holocaust,6,Global Independence,6.5.CE,"Standard 5: Demonstrate an understanding of the development of global interdependence from 1920 to the present.  +++ Explain the impact of nationalism on global conflicts and genocides in the 20th and 21st centuries. This indicator was developed to promote inquiry into the cause and effect relationship between nationalism and world wars. This indicator was also developed to promote inquiry into genocide, including the Holocaust, as well as the creation of the Universal Declaration of Human Rights, and the ensuing conflict that resulted from the creation of the state of Israel."
Holocaust,8,Progress,8.5.CO,"Standard 5: Demonstrate an understanding of the impact of world events on South Carolina and the United States from 1929 to present. +++ Compare South Carolina and U.S. wartime contributions and
demobilization after World War II.
This indicator was designed to promote inquiry into military and economic policies during World War II, to include the significance of military bases in South Carolina. This indicator was also developed to foster inquiry into postwar economic developments and demographic changes, to include the immigration of Jewish refugees following the Holocaust"
Holocaust,no_content,**Appears as a glossary term,,
Antisemitism,no_content,,,
Israel/Israelite,6,Global Independence,6.5.CE,"Standard 5: Demonstrate an understanding of the development of global interdependence from 1920 to the present.  +++ Explain the impact of nationalism on global conflicts and genocides in the 20th and 21st centuries. This indicator was developed to promote inquiry into the cause and effect relationship between nationalism and world wars. This indicator was also developed to promote inquiry into genocide, including the Holocaust, as well as the creation of the Universal Declaration of Human Rights, and the ensuing conflict that resulted from the creation of the state of Israel."
Hinduism,6,Civilations,6.1.CX,"Standard 1: Demonstrate an understanding of the organization and transformation(s) of world civilizations to 550. +++ Contextualize the origins and spread of major world religions and their enduring influence. This indicator was designed to promote inquiry into the development, basic tenets, and impact of Buddhism, Christianity, Confucianism, Daoism, Hinduism, Islam, and Judaism in relation to place and time"
Buddhism/ist,6,Civilations,6.1.CX,"Standard 1: Demonstrate an understanding of the organization and transformation(s) of world civilizations to 550. +++ Contextualize the origins and spread of major world religions and their enduring influence. This indicator was designed to promote inquiry into the development, basic tenets, and impact of Buddhism, Christianity, Confucianism, Daoism, Hinduism, Islam, and Judaism in relation to place and time"
Sikhism,no_content,,,
Mosque,no_content,,,
Temple,no_content,,,
Synagogue,Na,,,
Church,no_content,**Appears in a glossary definition,,
Genocide,6,Global Interdependence,6.5.CE,"Standard 5: Demonstrate an understanding of the development of global interdependence from 1920 to the present. +++ Explain the impact of nationalism on global conflicts and genocides in the 20th and 21st centuries. This indicator was developed to promote inquiry into the cause and effect relationship between nationalism and world wars. This indicator was also developed to promote inquiry into genocide, including the Holocaust, as well as the creation of the Universal Declaration of Human Rights, and the ensuing conflict that resulted from the creation of the state of Israel."
Pilgrim(age),no_content,,,
Mission(ary),no_content,,,
Shaman,no_content,,,
Bahai/Bahá'í,no_content,,,
Confucian/Confucianism/Confucius,6,Civilations,6.1.CX,"Standard 1: Demonstrate an understanding of the organization and transformation(s) of world civilizations to 550. +++ Contextualize the origins and spread of major world religions and their enduring influence. This indicator was designed to promote inquiry into the development, basic tenets, and impact of Buddhism, Christianity, Confucianism, Daoism, Hinduism, Islam, and Judaism in relation to place and time"
Jain/Jainism,no_content,,,
Tao/Taoism/Dao/Daoism/,6,Civilations,6.1.CX,"Standard 1: Demonstrate an understanding of the organization and transformation(s) of world civilizations to 550. +++ Contextualize the origins and spread of major world religions and their enduring influence. This indicator was designed to promote inquiry into the development, basic tenets, and impact of Buddhism, Christianity, Confucianism, Daoism, Hinduism, Islam, and Judaism in relation to place and time"
Lao Tzu/Laozi,no_content,,,
Shinto/Shintoism,no_content,,,
Zoroastrianism,no_content,,,
Jesus,no_content,**Appears in a glossary definition,,
Bible,no_content,,,
Divine,no_content,**Appears in a glossary definition,,
Tanakh,no_content,,,
theology,no_content,,,
Hebrew,no_content,,,
Diwali,no_content,,,
persecution,no_content,,,
Holi,no_content,,,
Holy,no_content,APPENDIX D,"This glossary is intended for teachers and not designed for student assessment purposes. It
provides discipline specific definitions of important yet less well-known terms that appear
throughout the standards and the indicators.","the Crusades a series of wars fought between the Muslims and Christians over control of the Holy Land in the eleventh through the thirteenth
centuries."
Holy,no_content,APPENDIX D,"This glossary is intended for teachers and not designed for student assessment purposes. It
provides discipline specific definitions of important yet less well-known terms that appear
throughout the standards and the indicators.",holy war a war declared or waged in support of a religious cause
Kwanzaa,no_content,,,
