Tennessee,,,,
Keyword,Grade/Area,Topic,Number,Standard
"Christian, Christmas",7,Middle Ages in Western Europe: 400-1500s CE,7.29,"Explain how Charlemagne shaped and defined medieval Europe, including: his impact on feudalism, the creation of the Holy Roman Empire, and the establishment of Christianity as the religion of the Empire."
"Christian, Christmas",7,Middle Ages in Western Europe: 400-1500s CE,7.35,"Explain how the Crusades impacted Christian, Muslim, and Jewish populations in Europe, with emphasis on the increasing contact with cultures outside Europe."
"Christian, Christmas",7,The Age of Exploration: 1400-1700s CE,7.65,"Explain the impact of Spanish colonization in the Americas, including the introduction and spread of Christianity, the mission system, the encomienda system, and the role of Bartolome de la Casa."
,,,,
Catholic,7,Middle Ages in Western Europe: 400-1500s CE,7.28,Describe the role of monasteries in the preservation of knowledge and spread of the Catholic Church beyond the Alps.
Catholic,7,Early Modern Europe: 1400-1700s CE - The Protestant Reformation,7.46,"Explain the significant causes of the Protestant Reformation, including: the Catholic Church s taxation policies, the selling of indulgences, and Martin Luther s 95 Theses."
Catholic,7,Early Modern Europe: 1400-1700s CE - The Protestant Reformation,7.47,"Analyze the development of the Protestant Reformation and the split with the Catholic Church, including: the emphasis on scripture alone, salvation by faith, and predestination"
Catholic,7,Early Modern Europe: 1400-1700s CE - The Protestant Reformation,7.48,Explain the political and religious roles of Henry VIII and Mary I in England's transition between Catholicism and Protestantism.
Catholic,7,Early Modern Europe: 1400-1700s CE - The Protestant Reformation,7.5,"Analyze how the Catholic Counter-Reformation emerged as a response to Protestantism and revitalized the Catholic Church, including the significance of: St. Ignatius of Loyola, the Jesuits, and the Council of Trent"
Catholic,7,The Age of Exploration: 1400-1700s CE,7.62,"Identify on a map French, Spanish, English, Dutch and Portuguese colonies in the Americas, and describe how the distributions of religions (e.g., Catholic and Protestant) in Europe affected the distribution of religions and colonization in the New World."
,,,,
Protestant,7,Early Modern Europe: 1400-1700s CE - The Protestant Reformation,7.46,"Explain the significant causes of the Protestant Reformation, including: the Catholic Church s taxation policies, the selling of indulgences, and Martin Luther s 95 Theses."
Protestant,7,Early Modern Europe: 1400-1700s CE - The Protestant Reformation,7.47,"Analyze the development of the Protestant Reformation and the split with the Catholic Church, including: the emphasis on scripture alone, salvation by faith, and predestination (eg John Calvin)."
Protestant,7,Early Modern Europe: 1400-1700s CE - The Protestant Reformation,7.48,Explain the political and religious roles of Henry VIII and Mary I in England's transition between Catholicism and Protestantism.
Protestant,7,Early Modern Europe: 1400-1700s CE - The Protestant Reformation,7.5,"Analyze how the Catholic Counter-Reformation emerged as a response to Protestantism and revitalized the Catholic Church, including the significance of: St. Ignatius of Loyola, the Jesuits, and the Council of Trent"
Protestant,7,The Age of Exploration: 1400-1700s CE,7.62,"Identify on a map French, Spanish, English, Dutch and Portuguese colonies in the Americas, and describe how the distributions of religions (e.g. Catholic and Protestant) in Europe affected the distribution of religions and colonization in the New World."
,,,,
Mormon,8,Expansion and Division of the Nation (1820s-1860s),8.55,"Analyze the reasons for and outcomes of groups moving west, including the significance of: Fur traders Mormons Families on the Oregon Trail Opportunities for women and African Americans"
Orthodox,,,,
Jesus,6,Ancient Rome: c. 500 BCE-500 CE,6.59,"Describe the origins and central features of Christianity: Key Person(s) Jesus, Paul Sacred Texts: The Bible Basic Beliefs: monotheism, sin and forgiveness, eternal life, Jesus as the Messiah"
Bible,6,Ancient Israel: c. 2000-500 BCE,6.22,"Describe the origins and central features of Judaism: Key Person(s): Abraham, Moses Sacred Texts: The Tanakh (i.e., Hebrew Bible) Basic Beliefs: monotheism, Ten Commandments, emphasis on individual worth and personal responsibility"
Bible,,Ancient Rome: c. 500 BCE-500 CE,6.59,"Describe the origins and central features of Christianity: Key Person(s) Jesus, Paul Sacred Texts: The Bible Basic Beliefs: monotheism, sin and forgiveness, eternal life, Jesus as the Messiah"
Bible,,Early Modern Europe: 1400-1700s CE - The Protestant Reformation,7.44,"Analyze Johannes Gutenberg s printing press and William Tyndale s translation of the Bible into the English language as vehicles for the spread of books, growth of literacy, and dissemination of knowledge."
,,,,
Muslim,7,Middle Ages in Western Europe: 400-1500s CE,7.35,"Explain how the Crusades impacted Christian, Muslim, and Jewish populations in Europe, with emphasis on the increasing contact with cultures outside Europe."
Muslim,7,Middle Ages in Western Europe: 400-1500s CE,7.4,"Describe the Moorish (i.e. Muslim) and Jewish influences on the Renaissance in cities such as Toledo, Cordoba, and Granada."
Islam,7,Southwest Asia and North Africa: 400-1500s CE,7.05,"Describe the origins and central features of Islam: Key Person(s): Mohammad Sacred Texts: The Quran and The Sunnah Basic Beliefs: monotheism, Five Pillars"
Islam,7,Southwest Asia and North Africa: 400-1500s CE,7.06,Describe how trade and expansion led to the diffusion of Islamic culture and the Arabic language.
Islam,7,West Africa: 400-1500s AD,7.13,"Analyze how the exchange of salt, gold, and enslaved people along the Trans-Saharan trade route led to religious and cultural changes, such as the growth of Islam and the Arabic language."
,,,,
Jew/Jewish,6,Ancient Rome: c. 500 BCE-500 CE,6.6,"Explain the reasons for the expulsion of the Jews from their homeland by the Romans (i.e., the Jewish diaspora)."
Jews,6,Ancient Israel: c. 2000-500 BCE,6.25,"Explain the Assyrian and Babylonian captivities and exiles after the breakup of the Kingdom of Israel, and the return of the Jews to their homeland under the Persian Empire."
Jewish,7,Middle Ages in Western Europe: 400-1500s CE,7.35,"Explain how the Crusades impacted Christian, Muslim, and Jewish populations in Europe, with emphasis on the increasing contact with cultures outside Europe."
Jewish,7,Middle Ages in Western Europe: 400-1500s CE,7.4,"Describe the Moorish (i.e. Muslim) and Jewish influences on the Renaissance in cities such as Toledo, Cordoba, and Granada."
Judaism,6,Ancient Israel: c. 2000-500 BCE,6.23,"Describe the origins and central features of Judaism: Key Person(s): Abraham, Moses Sacred Texts: The Tanakh (i.e., Hebrew Bible) Basic Beliefs: monotheism, Ten Commandments, emphasis on individual worth and personal responsibility"
Holocaust,,,,
Antisemitism,,,,
Israel/Israelite,6,Ancient Israel: c. 2000-500 BCE,6.21,"Identify and locate on a map geographical and political features of ancient Israel, including: Dead Sea Jerusalem Jordan River Mediterranean Sea Red Sea Sinai Peninsula"
Israel/Israelite,,,6.22,"Analyze the development of the ancient Israelites, and explain the reasons for their movements from Mesopotamia (i.e., Ur of the Chaldees) to Canaan (later called Israel), from Canaan to Egypt, and from Egypt back to Canaan."
Israel/Israelite,,,6.24,"Identify the importance of Saul as the first king of Israel, David as the second king who founded Jerusalem as the capital, and Solomon as the third king who built the first temple."
Israel/Israelite,,,6.25,"Explain the Assyrian and Babylonian captivities and exiles after the breakup of the Kingdom of Israel, and the return of the Jews to their homeland under the Persian Empire."
,,,,
Hinduism,6,Ancient India: c. 2500-400 BCE,6.3,"Describe the origins and central features of Hinduism: Key Person(s): origins in Aryan traditions Sacred Texts: The Vedas Basic Beliefs: dharma, karma, reincarnation, and moksha"
Hindu(ism),6,Ancient India: c. 2500-400 BCE,6.32,"Analyze the achievements of ancient India, including medical education, medical techniques, yoga as a Hindu practice, and mathematics (e.g., Hindu-Arabic numerals)."
Buddha/Buddhism/Buddhist,6,Ancient India: c. 2500-400 BCE,6.31,"Describe the origins and central features of Buddhism: Key Person(s): Siddhartha Gautama (Buddha) Sacred Texts: Tripitaka Basic Beliefs: Four Noble Truths, Eightfold Path, Nirvana"
Buddha/Buddhism/Buddhist,6,Ancient China: c. 2500 BCE-200 CE,6.4,"Explain how the development of the Silk Road led to cultural diffusion between China and Eurasia, including traded goods and the spread of Buddhism into ancient China."
Buddha/Buddhism/Buddhist,7,East Asia: 400-1500s CE,7.17,"Describe the reunification of China during the Sui Dynasty, including the spread of Buddhism and the building of the Grand Canal."
Buddha/Buddhism/Buddhist,7,East Asia: 400-1500s CE,7.24,Explain how Japanese culture changed through Chinese and Korean influences (including Buddhism and Confucianism) as shown in the Constitution of Prince Shotoku and the adoption of the Chinese writing system
,,,,
Mosque,,,,
Temple,6,Ancient Israel: c. 2000-500 BC,6.24,"Identify the importance of Saul as the first king of Israel, David as the second king who founded Jerusalem as the capital, and Solomon as the third king who built the first temple."
Church,7,Middle Ages in Western Europe: 400-1500s CE,7.28,Describe the role of monasteries in the preservation of knowledge and spread of the Catholic Church across Central and Western Europe.
Church,,The Protestant Reformation,7.46,"Explain the significant causes of the Protestant Reformation, including: the Catholic Church s taxation policies, the selling of indulgences, and Martin Luther s 95 Theses."
Church,,The Protestant Reformation,7.47,"Analyze the development of the Protestant Reformation and the split with the Catholic Church, including: the emphasis on scripture alone, salvation by faith, and predestination (e.g., John Calvin)."
Church,,The Protestant Reformation,7.5,"Analyze how the Catholic Counter-Reformation emerged as a response to Protestantism and revitalized the Catholic Church, including the significance of: St. Ignatius of Loyola, the Jesuits, and the Council of Trent."
Church,8,Colonization (1607-1750),8.07,"Explain the development of democratic ideologies that developed in the Thirteen English Colonies, including expansion of voting rights (e.g., Connecticut), freedom of religion, town meetings, and separation of church and state (e.g., Rhode Island)."
,,,,
Genocide,,,,
Persecution,,,,
Pilgrim/Pilgrimage,7,West Africa: 400-1500s CE,7.15,Explain the importance of the Malian king Mansa Musa and his pilgrimage to Mecca in 1324.
Mission/missionary/missionaries,7,The Age of Exploration: 1400-1700s CE,7.65,"Explain the impact of Spanish colonization in the Americas, including the introduction and spread of Christianity, the mission system, the encomienda system, and the role of Bartolome de la Casa."
Shaman,,,,
,,,,
Bahai/Baha 'i,,,,
Confucian/Confucianism/Confucius,6,Ancient China: c. 2500 BCE-200 CE,6.38,"Identify the political and cultural problems prevalent in the time of Confucius and how the philosophy of Confucianism and The Analects emphasized the concepts of kinship, order, and hierarchy to address these problems."
Confucian/Confucianism/Confucius,,Ancient China: c. 2500 BCE-200 CE,6.39,"Explain how the Han Dynasty's political success was influenced by Confucianism, and describe major accomplishments such as the magnetic compass, paper making, porcelain, silk, seismograph and woodblock printing."
Confucian/Confucianism/Confucius,,East Asia: 400-1500s AD,7.18,"Describe the developments (e.g., gunpowder and the reopening of the Silk Road) during the Tang Dynasty, including the expansion of Confucianism."
Confucian/Confucianism/Confucius,7,East Asia: 400-1500s AD,7.19,"Describe the developments (e.g., fast-ripening rice and mariner s compass) during the Song Dynasty, and examine the role of Neo-Confucianism in instituting merit-based civil service exams."
Jain/Jainism,,,,
Tao/Taoism/Dao/Daoism/,,,,
Lao Tzu/Laozi,,,,
Shinto/Shintoism,7,East Asia: 400-1500s CE,7.08,Describe the origins and central features of Shintoism: Key Person(s): None Sacred Texts: No sacred text Basic Beliefs: localized tradition that focuses on ritual practices that are carried out with discipline to maintain connections with ancient past; animism and Kami
Zoroastrianism,,,,
theology,,,,
Ramadan,,,,
Hanukkah,,,,
Hebrew,6,Ancient Israel: c. 2000-500 BC,6.23,"Describe the origins and central features of Judaism: Key Person(s): Abraham, Moses Sacred Texts: The Tanakh (i.e., Hebrew Bible, including the Torah) Basic Beliefs: monotheism, Ten Commandments, emphasis on individual worth and personal responsibility"
Diwali,,,,
Sikhism,,,,
Synagogue,,,,
Holy,7,Middle Ages in Western Europe: 400-1500s AD,7.29,"Explain how Charlemagne shaped and defined medieval Europe, including his impact on feudalism, the creation of the Holy Roman Empire, and the establishment of Christianity as the religion of the Empire. (Content Strands C, E, G, H, P)"
Holi,,,,
Kwanzaa,,,,
