Mississippi,,,,,
Keyword,Grade/Area,Course,Code,Standard,Objectives
Muslim/Islam/Ramadan,7,Early World History,7.7,"Compare and contrast the developments of early world religions and philosophies. (Strands: Civics, Civil Rights, History)","1. Compare and contrast animism, monotheism, and polytheism. 2. Explain the origins and foundational beliefs of the spread of Christianity, Islam, and Judaism. 3. Inspect the origins and foundational beliefs of the spread of Buddhism and Hinduism."
Muslim/Islam/Ramadan,7,Early World History,7.6,2. Inspect the origins and foundational beliefs of traditional African religions as well as the influence of Islam on the civilizations of sub-Saharan Africa.,2. Inspect the origins and foundational beliefs of traditional African religions as well as the influence of Islam on the civilizations of sub-Saharan Africa.
Jew/Judaism/Hanukkah/Holocaust,7,Early World History,7.7,"Compare and contrast the developments of early world religions and philosophies. (Strands: Civics, Civil Rights, History)","1. Compare and contrast animism, monotheism, and polytheism. 2. Explain the origins and foundational beliefs of the spread of Christianity, Islam, and Judaism. 3. Inspect the origins and foundational beliefs of the spread of Buddhism and Hinduism."
Hinduism,7,Early World History,7.7,"Compare and contrast the developments of early world religions and philosophies. (Strands: Civics, Civil Rights, History)","1. Compare and contrast animism, monotheism, and polytheism. 2. Explain the origins and foundational beliefs of the spread of Christianity, Islam, and Judaism. 3. Inspect the origins and foundational beliefs of the spread of Buddhism and Hinduism."
Hinduism,7,Early World History,7.3,"Demonstrate an understanding of the development of civilization in Indus Valley. (Strands: Civics, Civil Rights, Geography, History, Economics)",2. Analyze the influence of Hinduism on the Indian culture and social practices.
Buddhism,7,Early World History,7.7,"Compare and contrast the developments of early world religions and philosophies. (Strands: Civics, Civil Rights, History)","1. Compare and contrast animism, monotheism, and polytheism. 2. Explain the origins and foundational beliefs of the spread of Christianity, Islam, and Judaism. 3. Inspect the origins and foundational beliefs of the spread of Buddhism and Hinduism."
Sikhism,N/a,,,,
Mormon,N/a,,,,
Kwanzaa,N/a,,,,
Genocide,N/a,,,,
Persecution,N/a,,,,
Church,7,Early World History,7.8,Apply theories on life cycle development to explain differences in social interactions and relationships at different points in the life cycle of a human being based on cultural socialization in response to those developmental changes. (,Apply theories on life cycle development to explain differences in social interactions and relationships at different points in the life cycle of a human being based on cultural socialization in response to those developmental changes. (
Mosque,,,,,
Temple,,,,,
Synagogue,,,,,
Pilgrim/pilgrimage,,,,,
Mission/Missionary/missionaries,,,,,
shaman,,,,,
god,,,,,
Protestant,,,,,
Theocratic,,,,,
Antisemitism,,,,,
Israelite & Hebrew,,,,,
Confucian/Confucianism/Confucius,7,Early World History,7.2,"Examine an understanding of the development of civilization in the river valleys of China. (Strands: Civics, Civil Rights, Geography, History, Economics)","Compare and contrast the origins, foundational beliefs and spread of Confucianism and Taoism."
Jain/Jainism,,,,,
Tao/Taoism/Dao/Danish/Lao Tzu/Laozi,7,Early World History,7.2,"Examine an understanding of the development of civilization in the river valleys of China. (Strands: Civics, Civil Rights, Geography, History, Economics)","Compare and contrast the origins, foundational beliefs and spread of Confucianism and Taoism."
Shinto/Shintoism,,,,,
Zoroastrianism,,,,,
Bahai/Baha 'i,,,,,
theocracy,,,,,
Holi,,,,,
holy,,,,,
diwali,,,,,
Catholic,7,Early World History - World history from Pre-Historic Era to the Age of Enlightenment,7.8.6. Examine the role and influence of the Roman Catholic Church in medieval Europe.,,
Catholic,7,Early World History - World History from Pre-Historic Era to the Age of Enlightenment and US History: Exploration through Reconstruction (1877),7.C.2.3. Examine the role and influence of the Roman Catholic Church in medieval Europe including the Crusades.,,
theology,,,,,
