Washington DC,,,
Keyword,Grade/Area,,
,7,"Driving Concept 1: Indigenous Nations and Early European Colonization: Political, Social, and Economic Structures of the Americas in the 15th and 16th Century","7.8 Compare the different cultural, religious and/or spiritual belief systems of early Indigenous societies, with a particular focus on the role of gender and family, including the history of Two-Spirit identities between 1400 and 1600."
,7,"Driving Concept 1: Indigenous Nations and Early European Colonization: Political, Social, and Economic Structures of the Americas in the 15th and 16th Century","7.9 Evaluate European colonists ideas about religion and conquest, including the conception of the New World between 1400 and 1600."
,7,Driving Concept 2: Colonization and Revolution (1500-1783),"7.16 Compare the economic, religious and political motives that led to the establishment of early, distinct European colonies in the Americas."
,7,Driving Concept 2: Colonization and Revolution (1500-1783),"7.19 Compare the motivations of different groups who settled in the 13 British colonies, and analyze the impact of these differences on the political, demographic, religious and social features of the colonies."
,7,Driving Concept 2: Colonization and Revolution (1500-1783),"7.21 Analyze the differing lived experiences of early colonists, free Black people, enslaved people, women, religious minorities and indentured servants across the colonies."
,7,Driving Concept 2: Colonization and Revolution (1500-1783),"7.24 Analyze the experiences, perspectives and identities of people who were denied access to full rights across the colonies (e.g., enslaved people, women, free Black people, religious minorities), including citizenship, marriage and voting restrictions, and evaluate efforts by those groups to gain access to legal rights."
,7,Driving Concept 2: Colonization and Revolution (1500-1783),"7.33 Analyze the impact of the American Revolution on the social and political status of different groups in the new nation including but not limited to women, Indigenous Nations, enslaved and free Black Americans, religious minorities, and European Americans of various socioeconomic groups (e.g., rural farmers, Southern planters, urban craftsmen, Northern merchants)."
,7,Driving Concept 5: Emerging Social Movements (1800-1877),"7.62 Analyze societal confines and constraints within social reform movements of the 19th century, including the role of gender, sexuality, religion and race."
,7,Driving Concept 6: The Civil War,"7.67 Evaluate the role of women, civilians, free Black Americans, religious minorities and Indigenous Nations in the Civil War."
,8,Driving Concept 1: The Role of Government in Society,"8.4 Analyze the historical and philosophical influences on the creation of the American government, including the role of race, gender, religion and socioeconomic status."
Spirit/spiritual,7,"Driving Concept 1: Indigenous Nations and Early European Colonization: Political, Social, and Economic Structures of the Americas in the 15th and 16th Century","7.8 Compare the different cultural, religious and/or spiritual belief systems of early Indigenous societies, with a particular focus on the role of gender and family, including the history of Two-Spirit identities between 1400 and 1600."
Holiday,,,
,,,
Christian/Christmas/Christianity,,,
Muslim/Islam/Ramadan,,,
Jew/Judaism/Hanukkah/Holocaust,8,Driving Concept 7: Global Opportunities for Action,"8.65 Analyze common risk factors and warning signs that indicate a country is at risk for genocide or mass atrocity, and identify how they were present during the Holocaust and at least one other genocide, such as the Armenian Genocide, Cambodian genocide or Rwandan genocide."
,,,
Hinduism,,,
Buddhism,,,
Sikhism,,,
Mormon,,,
Kwanzaa,,,
Genocide,8,Driving Concept 7: Global Opportunities for Action,"8.65 Analyze common risk factors and warning signs that indicate a country is at risk for genocide or mass atrocity, and identify how they were present during the Holocaust and at least one other genocide, such as the Armenian Genocide, Cambodian genocide or Rwandan genocide."
,8,Driving Concept 7: Global Opportunities for Action,8.66 Evaluate the ways in which countries and international organizations recognize and respond to indications that a country is at risk for genocide or mass atrocity.
,8,Driving Concept 7: Global Opportunities for Action,8.67 Propose and advocate for a specific method of action that can be taken by the federal government to best respond to a current situation in which a country is at risk for genocide or mass atrocity.
Persecution,,,
Church,,,
,,,
Mosque,,,
Temple,,,
Synagogue,,,
Pilgrim/pilgrimage,,,
Mission/Missionary/missionaries,,,
shaman,,,
god,,,
protestant,,,
antisemitism,,,
confucian etc,,,
Theocracy,,,
theology,,,
Bahai,,,
Holi,,,
Holy,,,
Catholic,,,
Israel/Israelite,,,
Hebrew,,,
Diwali,,,
Confucianism,,,
Jainism,,,
Tao,,,
Lao Tzu,,,
Shintoism,,,
Zoroastrianism,,,
