South Carolina,,,,,
Keyword,Grade/Area,Theme/Concept,Indicator Code,Standard /Enduring Understanding,Details
Confucian/Confucianism/Confucius,6,Civilations,6.1.CX,Standard 1: Demonstrate an understanding of the organization and transformation(s) of world civilizations to 550.,"Contextualize the origins and spread of major world religions and their enduring influence. This indicator was designed to promote inquiry into the development, basic tenets, and impact of Buddhism, Christianity, Confucianism, Daoism, Hinduism, Islam, and Judaism in relation to place and time"
Jain/Jainism,,,,,
Tao/Taoism/Dao/Daoism/,6,Civilations,6.1.CX,Standard 1: Demonstrate an understanding of the organization and transformation(s) of world civilizations to 550.,"Contextualize the origins and spread of major world religions and their enduring influence. This indicator was designed to promote inquiry into the development, basic tenets, and impact of Buddhism, Christianity, Confucianism, Daoism, Hinduism, Islam, and Judaism in relation to place and time"
Lao Tzu/Laozi,,,,,
Shinto/Shintoism,,,,,
Zoroastrianism,,,,,
,,,,,
Jesus,**Appears in a glossary definition,,,,
Bible,,,,,
Divine,**Appears in a glossary definition,,,,
Tanakh,,,,,
theology,,,,,
Hebrew,,,,,
Diwali,,,,,
persecution,,,,,
Holi,,,,,
Holy,APPENDIX D,This glossary is intended for teachers and not designed for student assessment purposes. It provides discipline specific definitions of important yet less well-known terms that appear throughout the standards and the indicators.,,the Crusades a series of wars fought between the Muslims and Christians over control of the Holy Land in the eleventh through the thirteenth centuries.,
,APPENDIX D,This glossary is intended for teachers and not designed for student assessment purposes. It provides discipline specific definitions of important yet less well-known terms that appear throughout the standards and the indicators.,,holy war a war declared or waged in support of a religious cause,
Kwanzaa,,,,,
