0,1,2,3,4,5
Hinduism,7,Geography,,"Human Systems: Content Statements: Trade routes connecting Africa, Europe and Asia helped foster the spread of ideas, technology, goods and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) that impacted the Eastern Hemisphere.",
Buddhism,6,Geography,,"Human Systems: Content Statements: Diffusion of agricultural practices and products, technology, cultural practices and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) impacted the Eastern Hemisphere.",
Buddhism,7,Geography,,"Human Systems: Content Statements: Trade routes connecting Africa, Europe and Asia helped foster the spread of ideas, technology, goods and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) that impacted the Eastern Hemisphere.",
Sikhism,no_content,,,,
Mormon,no_content,,,,
Genocide,no_content,,,,
Persecution,no_content,,,,
Church,7,History,,Feudalism and Transitions: Content Statements: The Reformation introduced changes in religion including the emergence of Protestant faiths and a decline in the political power and social influence of the Roman Catholic Church.,
Mosque,no_content,,,,
Temple,no_content,,,,
Synagogue,no_content,,,,
Pilgrim/pilgrimage,no_content,,,,
Mission/Missionary/missionaries,no_content,,,,
shaman,no_content,,,,
god,no_content,,,,
Catholic,7,History,,Feudalism and Transitions: Content Statements: The Reformation introduced changes in religion including the emergence of Protestant faiths and a decline in the political power and social influence of the Roman Catholic Church.,
Protestant,7,History,,Feudalism and Transitions: Content Statements: The Reformation introduced changes in religion including the emergence of Protestant faiths and a decline in the political power and social influence of the Roman Catholic Church.,
Theocracy/Theocratic,6,Theme: Regions and People of the Eastern Hemisphere,,"Roles and Systems of Government: Content Statement: 10. Governments can be categorized as monarchies,  theocracies, dictatorships or democracies, but categories may overlap and labels may not accurately represent how governments function. The extent of citizens’ liberties and responsibilities varies according to limits on governmental authority.",
Theocracy/Theocratic,7,World Studies from 750 BC to 1600 AD: Ancient Greece to the First Global Age,,"Roles and Systems of Government: Content Statements: 17. Greek democracy and the Roman Republic were a radical departure from monarchy and theocracy, influencing the structure and function of modern democratic governments.",
Antisemitism,no_content,,,,
Israelite/Hebrew,no_content,,,,
Confucian/Confucianism,no_content,,,,
Jain/Jainism,no_content,,,,
Tao/Taoism/Dao/Daoism,no_content,,,,
Shinto/Shintoism,no_content,,,,
theology,no_content,,,,
Holy,no_content,,,,
Holi,no_content,,,,
Diwali,no_content,,,,
Kwanzaa,no_content,,,,
Bahai,no_content,,,,
Lao Tzu,no_content,,,,
Zoroastrianism,no_content,,,,
