Kansas,, ,,,,
Keyword,Grade,Area,Part of Document, , , 
Jew/Judaism/Hanukkah/Holocaust,Sixth Grade,Ancient World History Early Civilizations to 1300 C.E.,Suggested content and topics / Civilizations of Africa and Asia,"Suggested Topics: writing, agriculture, religion, conflict & conquest, polytheism, monotheism,
Judaism, Islam, Hinduism, Confucianism, Buddhism, Indigenous belief systems, Holy Roman
empire, government, codifying laws (Hammurabi’s Code), caste system, Mandate of Heaven, Right
of Kings",,
Jew/Judaism/Hanukkah/Holocaust,Sixth Grade,Ancient World History Early Civilizations to 1300 C.E.,Suggested content and topics / Civilizations of the Mediterranean Region,"Suggested topics: Direct-democracy, representative-democracy, theocracy, monarchy, oligarchy,
Trans-Saharan caravan routes, Silk Road, Judaism, Christianity, Bronze Age collapse and the Sea
People",,
Hinduism,Sixth Grade,Ancient World History Early Civilizations to 1300 C.E.,Suggested content and topics / Civilizations of Africa and Asia,"Suggested Topics: writing, agriculture, religion, conflict & conquest, polytheism, monotheism,
Judaism, Islam, Hinduism, Confucianism, Buddhism, Indigenous belief systems, Holy Roman
empire, government, codifying laws (Hammurabi’s Code), caste system, Mandate of Heaven, Right
of Kings",,
Buddhism,Sixth Grade,Ancient World History Early Civilizations to 1300 C.E.,Suggested content and topics / Civilizations of Africa and Asia,"Suggested Topics: writing, agriculture, religion, conflict & conquest, polytheism, monotheism,
Judaism, Islam, Hinduism, Confucianism, Buddhism, Indigenous belief systems, Holy Roman
empire, government, codifying laws (Hammurabi’s Code), caste system, Mandate of Heaven, Right
of Kings",,
Sikhism,,,,,,
Mormon,,,,,,
Kwanzaa,,,,,,
Genocide,,,,,,
Persecution,,,,,,
Church,,,,,,
,,,,,,
Mosque,,,,,,
Temple,,,,,,
Synagogue,,,,,,
Pilgrim/pilgrimage,,,,,,
Mission/Missionary/missionaries,Sixth Grade,Ancient World History Early Civilizations to 1300 C.E.,"Suggested Content and Topics / European, North African, and Southwest Asian Civilizations","Suggested Topics: Great Schism, feudalism, chivalry, crusades, missionaries, parliament, plagues,
Charlemagne, Magna Carta, systems of governing, Black Death, Abbasid Empire, Ibn Battuta, Islam,
Caliphate, Islamic Golden Age, Medieval climate impact",,
shaman,,,,,,
god,,,,,,
Protestant,,,,,,
Theocratic ,,,,,,
Theocracy,Sixth Grade,Ancient World History Early Civilizations to 1300 C.E.,Suggested content and topics / Civilizations of the Mediterranean Region,"Suggested topics: Direct-democracy, representative-democracy, theocracy, monarchy, oligarchy,
Trans-Saharan caravan routes, Silk Road, Judaism, Christianity, Bronze Age collapse and the Sea
People",,
Antisemitism,,,,,,
Israelite & Hebrew,,,,,,
Confucian/Confucianism/Confucius,Sixth Grade,Ancient World History Early Civilizations to 1300 C.E.,Suggested content and topics / Civilizations of Africa and Asia,"Suggested Topics: writing, agriculture, religion, conflict & conquest, polytheism, monotheism,
Judaism, Islam, Hinduism, Confucianism, Buddhism, Indigenous belief systems, Holy Roman
empire, government, codifying laws (Hammurabi’s Code), caste system, Mandate of Heaven, Right
of Kings",,
Jain/Jainism,,,,,,
Tao/Taoism/Dao/Lao Tzu/Laozi,,,,,,
Shinto/Shintoism,,,,,,
Zoroastrianism,,,,,,
Bahai/Bahá'í,,,,,,
Holi,,,,,,
Holy,Sixth Grade,Ancient World History Early Civilizations to 1300 C.E.,Suggested content and topics / Civilizations of Africa and Asia,"Suggested Topics: writing, agriculture, religion, conflict & conquest, polytheism, monotheism,
Judaism, Islam, Hinduism, Confucianism, Buddhism, Indigenous belief systems, Holy Roman
empire, government, codifying laws (Hammurabi’s Code), caste system, Mandate of Heaven, Right
of Kings",,
Diwali,,,,,,
Catholic,,,,,,
theology,,,,,,
