Texas,,,,,,
Keyword,Grade/Area,Course/Topic,Code,Standard,Subpoint,
Holiday,6,"people, places, and societies of the contemporary world",6.17.B,"17) Culture. The student understands the relationships among religion, philosophy, and culture. The student is expected to:","B) explain the significance of religious holidays and observances such as Christmas, Easter, Ramadan, the annual hajj, Yom Kippur, Rosh Hashanah, Diwali, and Vaisakhi in various contemporary societies.",
Theocracy,,,,,,
,,,,,,
Christian/Christmas/Christianity,6,"people, places, and societies of the contemporary world",6.17.B,"17) Culture. The student understands the relationships among religion, philosophy, and culture. The student is expected to:","B) explain the significance of religious holidays and observances such as Christmas, Easter, Ramadan, the annual hajj, Yom Kippur, Rosh Hashanah, Diwali, and Vaisakhi in various contemporary societies.",
Catholic,7,history of Texas from early times to the presen,7.2.C,"2) History. The student understands how individuals, events, and issues through the Mexican National Era shaped the history of Texas. The student is expected to:","C) identify important individuals, events, and issues related to European colonization of Texas, including the establishment of Catholic missions, towns, and ranches, and the contributions of individuals such as Fray Damia n Massanet, Antonio Margil de Jesu s, and Francisco Hidalgo;",
Protestant,,,,,,
Mormon,,,,,,
Orthodox,,,,,,
Jesus,,,,,,
Bible,,,,,,
,,,,,,
Muslim/,,,,,,
Islam/,,,,,,
Ramadan,6,"people, places, and societies of the contemporary world",6.17.B,"17) Culture. The student understands the relationships among religion, philosophy, and culture. The student is expected to:","B) explain the significance of religious holidays and observances such as Christmas, Easter, Ramadan, the annual hajj, Yom Kippur, Rosh Hashanah, Diwali, and Vaisakhi in various contemporary societies.",
Sunni/Shia,,,,,,
,,,,,,
Jew/,,,,,,
Judaism/,,,,,,
Hanukkah/,6,"people, places, and societies of the contemporary world",6.17.B,"17) Culture. The student understands the relationships among religion, philosophy, and culture. The student is expected to:","B) explain the significance of religious holidays and observances such as Christmas, Easter, Ramadan, the annual hajj, Yom Kippur, Rosh Hashanah, Diwali, and Vaisakhi in various contemporary societies.",
Holocaust,,,,,,
Antisemitism,,,,,,
Israel/Israelite,,,,,,
Hebrew,,,,,,
Tanak,,,,,,
,,,,,,
Hindu/Hinduism,6,"people, places, and societies of the contemporary world",6.17.B,"17) Culture. The student understands the relationships among religion, philosophy, and culture. The student is expected to:","B) explain the significance of religious holidays and observances such as Christmas, Easter, Ramadan, the annual hajj, Yom Kippur, Rosh Hashanah, Diwali, and Vaisakhi in various contemporary societies.",
Buddhism/Buddhist,,,,,,
Sikhism,6,"people, places, and societies of the contemporary world",6.17.B,"17) Culture. The student understands the relationships among religion, philosophy, and culture. The student is expected to:","B) explain the significance of religious holidays and observances such as Christmas, Easter, Ramadan, the annual hajj, Yom Kippur, Rosh Hashanah, Diwali, and Vaisakhi in various contemporary societies.",
,,,,,,
Mosque,,,,,,
Temple,,,,,,
Synagogue,,,,,,
Church,,,,,,
,,,,,,
Genocide,,,,,,
Persecution,,,,,,
Pilgrim/Pilgrimage,8,history of the United States from the early colonial period through Reconstruction,8.1.B,1) History. The student understands traditional historical points of reference in U.S. history through 1877. The student is expected to:,"B) explain the significance of the following dates: 1607, founding of Jamestown; 1620, arrival of the Pilgrims and signing of the Mayflower Compact; 1776, adoption of the Declaration of Independence; 1787, writing of the U.S. Constitution; 1803, Louisiana Purchase; and 1861-1865, Civil War.",
Mission/missionary/missionaries,7,history of Texas from early times to the presen,7.2.C,"2) History. The student understands how individuals, events, and issues through the Mexican National Era shaped the history of Texas. The student is expected to:","C) identify important individuals, events, and issues related to European colonization of Texas, including the establishment of Catholic missions, towns, and ranches, and the contributions of individuals such as Fray Damia n Massanet, Antonio Margil de Jesu s, and Francisco Hidalgo;",
Shaman,,,,,,
,,,,,,
Bahai/Baha 'i,,,,,,
Confucian/Confucianism/Confucius,,,,,,
Jain/Jainism,,,,,,
Tao/Taoism/Dao/Daoism/,,,,,,
Lao Tzu/Laozi,,,,,,
Shinto/Shintoism,,,,,,
Zoroastrianism,,,,,,
Kwanzaa,,,,,,
Holi,,,,,,
Holy,,,,,,
Diwali,6,"people, places, and societies of the contemporary world",6.17.B.,"17) Culture. The student understands the relationships among religion, philosophy, and culture. The student is expected to:","B) explain the significance of religious holidays and observances such as Christmas, Easter, Ramadan, the annual hajj, Yom Kippur, Rosh Hashanah, Diwali, and Vaisakhi in various contemporary societies.",
theology,,,,,,
